objectid,filename,title,collection title,collection placement (page number),creator,date,last edited,description,keyword,type,format,file size,language,rights
coll001,1.inheritance.png,Inheritance,Inheritance,4,Emerson Porter,2023-05-03,2025-02-15,"“A piece reflecting on the life lived by Pa, and what makes features of the self worth inheriting.”","""Pa,"" ""Father,"" ""Self""",text: poem,image/png,37 KB,eng,held by author
coll002,2.myfatherisalotofthings.png,My Father is a lot of things (and maybe something like me),Inheritance,5,Emerson Porter,2023-11-08,2025-02-15,"""A piece introducing the 'Father' and contemplating the similarites and differeneces between him and the speaker.""","""Father,"" ""Mother,"" ""Grandmother,"" ""Pa,"" ""Self""",text: poem,image/png,56 KB,eng,held by author
coll003,3.mymotherwasntalwaysright.png,My mother wasn't always right (but she was always enough),Inheritance,7,Emerson Porter,2023-04-11,2025-02-15,"""A piece introducing the 'Mother' and contemplating the similarites and differeneces between her and the speaker.""","""Mother,"" ""Self""",text: poem,image/png,47 KB,eng,held by author
coll004,4.kidsaremean.png,Kids are mean (they just don't understand),Inheritance,14,Emerson Porter,2023-05-23,2025-02-15,"""A piece detailing the death of 'Grama' and the affects it had on the young speaker and their family.""","""Grama,"" ""Mother,"" ""Lisa,"" ""Brother,"" ""Self""",text: poem,image/png,65 KB,eng,held by author
coll005,5.godisntgood.png,"""God isn't Good""",Inheritance,18,Emerson Porter,2022-09-19,2025-02-15,"""A piece reflecting on the death of 'Grama' and the way it impacted the speaker's relationship with God and 'Mother.'""","""Mother,"" ""Grama,"" ""Self""",text: poem,image/png,48 KB,eng,held by author
coll006,6.lastallowance.png,Last Allowance,Inheritance,25,Emerson Porter,2024-08-24,2025-02-15,"""A piece about the rediscovery of an old card left for the speaker by 'Grama.'""","""Grama,"" ""Gramps,"" ""Mother,"" ""Sister,"" ""Self""",text: poem,image/png,50 KB,eng,held by author
coll007,7.aletterforpa.png,A Letter for Pa,Inheritance,28,Emerson Porter,2023-02-14,2025-02-15,"""A letter from the speaker to 'Pa.'""","""Pa,"" ""Father,"" ""Self""",text: poem,image/png,39 KB,eng,held by author
coll008,8.mudandpretrichor.png,Mud and Petrichor,Inheritance,37,Emerson Porter,2024-08-18,2025-02-15,"""A reflection on cyclical harm.""","""Sister,"" ""Brother,"" ""Mother,"" ""Father,"" ""Self""",text: poem,image/png,37 KB,eng,held by author
coll009,9.peterpan.png,Peter Pan (knowing she missed her chance),Inheritance,38,Emerson Porter,2025-09-13,2025-02-15,"""A reflection on the man now adult 'Brother' is growing up to be.""","""Father,"" ""Mother,"" ""Brother,"" ""Self""",text: poem,image/png,35 KB,eng,held by author
coll010,10.intheweeds.png,In the weeds,Inheritance,39,Emerson Porter,2024-07-14,2025-02-15,“A piece about ants and the arbitrary value systems applied between flowers and weeds.”,"""Self""",text: poem,image/png,45 KB,eng,held by author
coll011,11.celebrationoflife.png,Celebration of Life,Inheritance,40,Emerson Porter,2023-08-01,2025-02-15,"""A piece about the death of 'Grandmother' and the inheritance of her name.""","""Self,"" ""Grandmother,"" ""Pa,"" ""Mother,"" ""Brother,"" ""Sister,"" ""Father""",text: poem,image/png,62 KB,eng,held by author
coll012,12.againandagain.png,again and again,Inheritance,49,Emerson Porter,2024-12-16,2025-02-15,"""A piece about the distance between the speaker and 'Brother.'""","""Brother,"" ""Self""",text: poem,image/png,41 KB,eng,held by author
coll013,13.thepointofgoliathisthathelost.png,The Point of Goliath is That He Lost,Inheritance,50,Emerson Porter,2025-05-18,2025-02-15,"""A piece about the speaker's struggle living with OCD.""","""Self,"" ""Mother,"" ""Father,""",text: poem,image/png,66 KB,eng,held by author
coll014,14.odetopops.png,Ode to Pops,Inheritance,52,Emerson Porter,2023-01-30,2025-02-15,"""A piece about the complicated nature of the speaker's relationship with 'Father.'""","""Self,"" ""Father,"" ""Brother,"" ""Sister,"" ""Grama,"" ""Mother""",text: poem,image/png,79 KB,eng,held by author
coll015,15.pomegranate.png,Pomegrante,Inheritance,61,Emerson Porter,2024-08-24,2025-02-15,"“A piece of enquiry into the self, asking if knowing oneself to be multiple things, can be the same thing as knowing what one is”","""Self""",text: poem,image/png,31 KB,eng,held by author
